id	text	T26
1861-11-19_article_0190	Resignation of a Senator.;;; The resignation of James G. Paxton, State Senator from the 37th District, has been received by the Executive.	0.8916612267494202
1861-11-21_article_0253	By the Governor of Virginia.--a proclamation.;;; --Whereas, a vacancy has occurred, in the representation of this Commonwealth, in the General Assembly, by the resignation of James G. Paxton, the Senator for the District composed of the counties of Balth, Highland, and Rockbridge: Therefore, I John Letcher, Governor of the Commonwealth of Virginia, do hereby require the Sheriffs of the said counties to hold elections in their respective counties, on the 12th day of December next, for a Senator to fill the vacancy aforesaid.;;; Given under my hand as Governor, and under the less seal of the Commonwealth, at Richmond, this 18th day of November, A. D. 1861, and in the 86th year of the Commonwealth John Letcher.;;; By the Governor:;;; Geo. W. Munford.;;; no 19 --tde Sec'y of the Commonwealth.;;; Lexington papers copy.	0.8744398951530457
1860-12-22_article_0188	By the Governor of Virginia.;;; --A Proclamation.--Whereas, a vacancy has occurred in the house of Delegates of this State by the resignation of G. L. Brown, Esq., late the Delegate from the county of Bedford: Now, therefore, I. John Letcher, Governor of the Commonwealth of Virginia, have thought proper, by a writ of elation, issued and directed pursuant to law, to require an election to be held pursuant to law, to require an election to be held at the several places of voting in said county, on the twenty-Seventh day of the present month, December, of a member of the House of Delegates for said county, to supply the vacancy aforesaid.;;; Given under my hand as Governor, and under the Less Seal of the commonwealth, this 18th day of December, 1860. By the Governor: John Letcher. Geo. W. Munford, Sec'y of the Commonwealth. de 20--d&amp;ctde	0.8606117367744446
1861-05-30_article_0132	By the Governor of Virginia;;; --A Proclamation — Whereas a vacancy has occurred in the Convention of Virginia by the resignation of George W. Summers, a member thereof for the county of Kanawha, therefore the Sheriff of said county is hereby required to hold an election at the several places of voting prescribed by law, in said county, on Monday, the 10th day of June next, for a member of the Convention for said county, to supply the vacancy aforesaid.;;; Given under my hand, as Governor, and under the Seal of the Commonwealth, at Richmond, this 29th day of May, 1861, and in the eighty-fifth year of the Commonwealth.;;; John Letcher. By the Governor: George W. Munford, Secretary of the Commonwealth. my 30 --d&amp;cw3t	0.8581461310386658
1861-05-31_article_0253	By the Governor of Virginia;;; --A Proclamation.--Whereas a vacancy has occurred in the Convention of Virginia by the resignation of George W. Summers, a member thereof for the county of Kanawha, therefore the Sheriff of said county is hereby required to hold an election at the several places of voting prescribed by law, in said county, on Monday, the 19th day of June next, for a member of the Convention for said county, to supply the vacancy aforesaid.;;; Given under my hand, as Governor, and under the Seal of the Commonwealth, at Richmond, this 29th day of May, 1861, and in the eighty-fifth year of the Commonwealth. John Letcher. By the Governor: George W. Munford, Secretary of the Commonwealth. my 30 --d&amp;cw3t	0.8581449389457703
1860-12-21_article_0172	By the Governor of Virginia.;;; --A Proclamation.--Whereas, a vacancy has occurred in the House of Delegates of this State by the resignation of G. L. Brown, Esq., late the Delegate from the county of Bedford; Now, therefore, I. John Letcher, Governor of the Commonwealth of Virginia, have thought proper, by a writ of election, issued and directed pursuant to law, to require an election to be held at the several places of voting in said county, on the Twenty- Seventh day of the present month, ( December,) for a member of the House of Delegates for said county, to supply the vacancy aforesaid.;;; Given under my hand as Governor, and under the Less Seal of the Commonwealth, this 18th day of December, 1860. John Letcher. By the Governor: Geo. W. Munford, Sec'y of the Commonwealth. de 20--d&amp;ctde	0.8518234491348267
1860-12-20_orders_0117	By the Governor of Virginia.--a proclamation.;;; --Whereas, a vacancy has occurred in the House of Delegates of this State by the resignation of G. L. Brown, Esq., late the Delegate from the county of Bedford: Now, therefore, 1, John Letcher, Governor of the Commonwealth of Virginia, have thought proper, by a writ of election, issued and directed pursuant to law, to require an election to be held at the several places of voting in said county, on the twenty-Seventh day of the present month, ( December,) for a member of the House of Delegates for said county, to supply the vacancy aforesaid.;;; Given under my hand as Governor, and under the Less Seal of the Commonwealth, this 13th day of December, 1850. John Letcher. By the Governor: Geo. W. Munford, Sec'y of the Commonwealth. de 20--d&amp;ctde	0.8517974615097046
1860-12-25_orders_0166	By the Governor of Virginia.--a proclamation.;;; --Whereas, a vacancy has occurred in the House of Delegates of this State by the resignation of G. L. Brown, Esq., into the Delegate from the county of Bedford; Now, therefore, I, John Letcher, Governor of the Commonwealth of Virginia, have thought proper, by a writ of election, issued and directed pursuant to law, to require an election to be held at the several places of voting in said county, on the Twenty Seventh day of the present month, December, for a member of the House of Delegates for said county, to supply the vacancy aforesaid.;;; Given under my hand as Governor, and under the Less Seal of the Commonwealth, this 13th day of December, 1860. John Letcher. By the Governor: Geo. W. Munford, Sec'y of the Commonwealth. de 20--d&amp;tde	0.8484713435173035
1861-12-02_article_0246	By the Governor of Virginia — a proclamation.;;; --Whereas, a vacaney has occurred in the House of Delegates of this States, by the resignation of A. R. Eoteder, Esq., the Delegate elect for the county of Jefferson.;;; Therefore, I, John Letcher, Governor of the Commaonwealth of Virginia, in Exercise of authority vested in the Executive by law, do hereby require the Sheriff of the said county of Jefferson to cause an election to be hold in that county on the 17th day of December next, for a Delegate to fill the vacancy aforesaid.;;; L. S. Given under my hand as Govenor, and under the Seal of the Commonwealth, at Richmond., this 18th day of November, 1861 and in the year of the Commonwealth the eighty-sixth.;;; John Letcher. By the Governor: Geo. W. Munford. Sec'y of the Commonwealth. The papers at Charlestown to public until the day of election. no 30 --ide	0.8476258516311646
1860-12-24_article_0300	By the Governor of Virginia.;;; --A Proclamation.--Whereas, a vacancy has occurred in the House of Delegates of this State by the resignation of G. L. Brown, Esq., late the Delegate from the county of Bedford.;;; Now, therefore, I John Lecher, Governor of the Commonwealth of Virginia, have thought proper, by a writ of election, issued and directed pursuant to law, to require an election to be held at the several places of voting in said county, on the twenty Seventh day of the present month, December for a member of the House of Delegates for said county, to supply the vacancy aforesaid.;;; Given under my hand as Governor, and under the Less Seal of the Commonwealth, this 18th day of December, 1860. By the Governor John Letcher. Geo. W. Munford, Sec'y of the Commonwealth. de 20--d&amp;ctde	0.8470746874809265
1861-11-19_article_0164	By the Governor of Virginia — a proclamation.;;; --Whereas, a vacancy has occurred, in the representation of this Commonwealth, in the General Assembly, by the resignation of James G. Panton, the Senator for the District composed of the counties of Highland and Rockbridge; Therefore, John Le Cher, Governor of the Commonwealth of Virginia, do hereby the Sheriffs of the counties to hold in their respectively on the 12th day of December next, for a Senator to fill the vacancy a are aid.;;; Given under my hand as Governor and under the less seal of the Commonwealth, of Richmond, this 18th day of November, D. 1861, and in the 86th year of the Commonwealth. John Letcher. By the Governor: Geo. W. Munford. Sec'y of the Commonwealth. papers copy.	0.8456764221191406
1861-11-20_orders_0265	By Governor of Virginia.--a proclamation.;;; --Whereas, a vacancy has occurred, 2 the representatives of this, in the General Assembly, by the regnless of James G. P Xon, the ontor for the District composed of the counties of Barh, Highland and Rockbridge;Therefore, J John Letcher.;;; Governor of the Commonwealth of Virginia, do hereby require the Si of the said counties to hold elections in their respective counties, on the 12th day of December next, for a Senator to fill the vacancy aforesaid.;;; Given under my hand as Governor, and under the less seal of the Commonwealth, at Richmond, this 18th day of November, A. D. 1861, and in the 86th year of the Commonwealth. John Letcher. By the Governor: Geo. W. Munford. Sec'y of the Commonwealth. Lexington papers copy. no 19--tde	0.8410157561302185
1861-12-05_article_0190	By the Governor of Virginia.--a Proclamation.;;; --Whereas a vacancy has occurred, in the representation of this Commonwealth, in the General Assembly, by the resignation of James G. Paxton, the Senator for the District composed of the counties of Bath, Highland, and Rockbridge: Therefore, I, John Letcher, Governor of the Commonwealth of Virginia, do hereby require the Sheriffs of the said counties to hold elections in their respective counties, on the 12th day of December next, for a Senator to fill the vacancy aforesaid.;;; Given under my hand as Governor, and under the less seal of the Commonwealth, at Richmond, this 18th day of November, A. D. 1861. and in the 86th year of the Commonwealth. John Letcher. By the Governor: Geo. W. Munford, no 19 --tde Sec'y of the Commonwealth. Lexington papers copy.	0.8360117077827454
1861-11-26_advert_0078	By the Governor of Virginia.--a proclamation.;;; --Whereas, a vacancy has occurred, in the representation of this Commonwealth, in the General Assembly, by the resignation of James G. Paxton, the Senator for the District composed of the counties of Bath, Highland and Rockbridge: Therefore, I John Letcher, Governor of the Commonwealth of Virginia, do hereby require the Sheriffs of the said counties to hold elections in their respective counties, on the 12th day of December next, for a Senator to fill the vacancy aforesaid.;;; Given under my hand as Governor, and under the less seal of the Commonwealth, at Richmond, this 18th day of November, A. D. 1861, and in the 86th year of the Commonwealth. John Letcher. By the Governor: Geo. W. Munford. no 19 --tde Sec'y of the Commonwealth. Lexington papers copy.	0.8359835743904114
1861-12-02_article_0247	By the Governor of Virginia.--a proclamation.;;; --Whereas, a vacancy has occurred, in the representation of this Commonwealth, in the General Assesmbly, by the resignation of James G. Paxuon, the Senater for the District composed of the counties of Bath, Highland, and Rockbridge: Therefore, I John Letcher, Governor of the Commonwealth of Virginia, do hereby require teh Sheriffs of the said counties to hold elections in their respective counties on the 12th day of December next, for a Senator to fill the vacancy aforesaid.;;; L. S. Given under my hand as Governor, and under the less seal of the Commonwealth, at Richmond, this 18th day of November, A. D. 1861, and in the 86th year of the Commonwealth.;;; John Letcher. By the Governor: Geo. W. Munford, no 19 --tde Sec'y of the Commonwealth. Lezington papers copy.;;; Savings Banks.	0.8319162130355835
1861-11-27_orders_0296	By the Governor of Virginia.--a proclamation.;;; --Whereas, a vacancy has occurred, in the representation of this Commonwealth, in the General Assembly, by the resignation of James G. Paxton, the Senator for the District composed of the counties of Bath, Highland, and Rockbridge: Therefore, I John Leicher, Governor of the Commonwealth of Virginia, do hereby require the Sheriffe of the said counties to hold elections in their respective counties, on the 12th day of December next, for a Senator to fill the vacancy aforesaid.;;; Given under my hand as Governor, and under the less seal of the Commonwealth, at Richmond, this 18th day of November, 4 D. 1861, and in the 86th year of the Commonwealth. John Letcher. By the Governor: Geo. W. Munford, no 19 --tde Sec'y of the Commonwealth. Lexington papers copy.	0.8318811058998108
1864-11-11_orders_0043	State of Virginia, executive Department, Richmond, November 4, 1864.;;; A Proclamation.--Whereas, a vacancy has occurred in the General Assembly of this Commonwealth by the resignation of S. W. Thomas, the member of the House of Delegates from the county of Warren; therefore.;;; I, William Smith, Governor of the Commonwealth of Virginia, do hereby proclaim and make known that an election will be held in said county, at the places proscribed by law, to supply the vacancy aforesaid, on the First Thursday in December next.;;; Given under my hand as Governor, and under the lesser seal of the Commonwealth, at Richmond, this 4th day of November, 1864, and in the eighty-ninth year of the Commonwealth. William Smith. Teste: George W. Munford, Secretary of the Commonwealth. no 7--tde	0.8280676603317261
1861-12-03_article_0276	By the Governor of Virginia — a proclamation.;;; --Whereas, a vacancy has occurred in the House of Delegates of this State, by the resignation of A. R. Boteler, Esq., the Delegate elect for the county of Jefferson: Therefore, I. John Letcher, Governor of the Commonwealth of Virginia, in exercise of authority vested in the Executive by law, do hereby require the Sheriff of the said county of Jefferson to cause an election to be held in that county on the 17th day of December next, for a Delegate to fill the vacancy aforesaid.;;; Given under my hand, as Governor, and L. S. under the Seal of the Commonwealth, at Richmond., this 28th day of November, 1861, and in the year of the Commonwealth the eighty-sixth.;;; John Letcher. By the Governor: Geo. W. Munford, Sec'y of the Commonwealth. The papers at Charlestown to publish until the day of election. no 30 --ids	0.8276732563972473
